iter	MultiClass
0	1.577378772
1	1.437033958
2	1.333238236
3	1.253626539
4	1.188568569
5	1.136490238
6	1.092983627
7	1.056548155
8	1.024833694
9	0.9972377991
10	0.9736491324
11	0.9527413074
12	0.9346191169
13	0.9186674139
14	0.9043546331
15	0.8921804375
16	0.8805945413
17	0.8705665495
18	0.8625578906
19	0.8547458456
20	0.8477791243
21	0.840853831
22	0.8356185813
23	0.8307146783
24	0.8252988407
25	0.8212686362
26	0.816912786
27	0.8128974134
28	0.8092792762
29	0.8056320757
30	0.8021513432
31	0.7989675866
32	0.7962576272
33	0.7943270478
34	0.7916282151
35	0.7892680087
36	0.7872000309
37	0.7849057698
38	0.783392792
39	0.78185809
40	0.7800398761
41	0.7781919172
42	0.7766952662
43	0.7744767896
44	0.77303405
45	0.7720598729
46	0.7708457298
47	0.7695692453
48	0.7687436414
49	0.7671466242
50	0.7661004728
51	0.7652286868
52	0.7645910527
53	0.7629239345
54	0.7616969794
55	0.7607633288
56	0.7599822202
57	0.7589291431
58	0.7576400706
59	0.7569498499
60	0.7562010469
61	0.755524341
62	0.7549084584
63	0.7542898509
64	0.7536247115
65	0.7530729302
66	0.7522567187
67	0.7515523716
68	0.7512365294
69	0.7504882725
70	0.7500077944
71	0.7494592868
72	0.7480687537
73	0.7469578241
74	0.7463237645
75	0.7457447114
76	0.7450289569
77	0.7444328329
78	0.7439012642
79	0.7431249282
80	0.7424638795
81	0.7409352038
82	0.7403313389
83	0.7397974817
84	0.7387449492
85	0.7384455639
86	0.7379185317
87	0.7374973211
88	0.7369504934
89	0.7362520171
90	0.7357542958
91	0.7352603864
92	0.7349724254
93	0.7344233763
94	0.7339492392
95	0.7335503732
96	0.7325510076
97	0.7322300981
98	0.7318632147
99	0.7309679053
100	0.7301178031
101	0.7295595759
102	0.7292583737
103	0.7283690174
104	0.727734102
105	0.726976069
106	0.726672087
107	0.7261387639
108	0.7256037949
109	0.7251420234
110	0.7248612758
111	0.7243893707
112	0.7239366367
113	0.7234509799
114	0.7230171873
115	0.7224595613
116	0.7218640033
117	0.7211153621
118	0.7205268165
119	0.7201062044
120	0.7197100532
121	0.7194732226
122	0.7188680931
123	0.7181797681
124	0.7178299292
125	0.7173811615
126	0.7171914687
127	0.7170585872
128	0.7165216372
129	0.7160659637
130	0.7152801245
131	0.7149447207
132	0.7146418354
133	0.7143939012
134	0.7137906506
135	0.7135681092
136	0.7131057991
137	0.7126919532
138	0.7121629548
139	0.7118194631
140	0.7115703439
141	0.7113427764
142	0.7110468788
143	0.7106265684
144	0.7104037001
145	0.7101365066
146	0.7095630679
147	0.7092459019
148	0.7089478313
149	0.7084901383
150	0.7080691053
151	0.7078370019
152	0.7074067631
153	0.7069277096
154	0.7066526937
155	0.7061564147
156	0.7059149379
157	0.7055793752
158	0.7052091237
159	0.7049845051
160	0.704654301
161	0.7043200714
162	0.7038146594
163	0.7034908171
164	0.7026554237
165	0.7023022561
166	0.7019370114
167	0.7016131792
168	0.7010556792
169	0.7008477941
170	0.7006355948
171	0.7004299537
172	0.7002074379
173	0.6994132353
174	0.6988623895
175	0.6985688507
176	0.6981416425
177	0.6978170184
178	0.697526666
179	0.697222652
180	0.696993635
181	0.6964859281
182	0.6958445253
183	0.6955990529
184	0.6954307445
185	0.6950013733
186	0.6946853336
187	0.6944108705
188	0.6940383104
189	0.6938008726
190	0.6935818462
191	0.6934225612
192	0.6931321154
193	0.6929177191
194	0.6924205779
195	0.6922174223
196	0.6919324443
197	0.6917418304
198	0.691601728
199	0.6914806788
200	0.6910926729
201	0.6905672489
202	0.6903739749
203	0.6901554976
204	0.6899829864
205	0.6896980257
206	0.6894265349
207	0.6892857905
208	0.6886953868
209	0.6884342803
210	0.6881147065
211	0.6878484518
212	0.6875429512
213	0.6872121658
214	0.6869320824
215	0.6866487813
216	0.6863752858
217	0.6861062548
218	0.6856731871
219	0.6850718149
220	0.6848331012
221	0.6843630399
222	0.6841068151
223	0.6839022203
224	0.6837226014
225	0.6833116065
226	0.6828854727
227	0.6827067811
228	0.6825432486
229	0.6823082843
230	0.6821207945
231	0.6818664867
232	0.6817155111
233	0.6814853762
234	0.6813304956
235	0.6811462086
236	0.6809417803
237	0.6805803961
238	0.6804005108
239	0.6799743706
240	0.6797084637
241	0.6794729985
242	0.6793371232
243	0.6791572815
244	0.6788418182
245	0.6784753851
246	0.6781856158
247	0.6780047022
248	0.6775968547
249	0.6772753799
250	0.6771678898
251	0.6767375077
252	0.6766197062
253	0.6763875077
254	0.6761625768
255	0.6758804696
256	0.675520341
257	0.6751443843
258	0.6749163823
259	0.6745702159
260	0.6742708357
261	0.6740257181
262	0.6738255893
263	0.6735392236
264	0.6731131854
265	0.6729213446
266	0.6727288444
267	0.6724053258
268	0.6722871086
269	0.6720701282
270	0.6718455736
271	0.6715111157
272	0.6713129191
273	0.6711585814
274	0.6708570896
275	0.6704648614
