iter	MultiClass
276	0.670295318
277	0.6699730609
278	0.6697641925
279	0.6693626409
280	0.6692419194
281	0.6689462429
282	0.6687522482
283	0.668474803
284	0.668050635
285	0.6678517923
286	0.6676590038
287	0.6675032116
288	0.6673233215
289	0.6670912678
290	0.6668043713
291	0.6665934552
292	0.6662893364
293	0.6661003385
294	0.6658922491
295	0.6656131342
296	0.6654110414
297	0.6651341211
298	0.6649643105
299	0.6647461286
300	0.6646241649
301	0.6644295896
302	0.6642470816
303	0.6640966928
304	0.6638919216
305	0.6637551034
306	0.6635159563
307	0.6631986639
308	0.6629514391
309	0.6626169317
310	0.662434066
311	0.6622564372
312	0.6617251617
313	0.661580011
314	0.6613438346
315	0.6609713775
316	0.6607927463
317	0.6605014787
318	0.6603851578
319	0.6601898042
320	0.659929634
321	0.6595883194
322	0.65942859
323	0.6591899573
324	0.6589828764
325	0.658883302
326	0.6587766041
327	0.6586090734
328	0.6583036818
329	0.6582104179
330	0.6580390412
331	0.6578591354
332	0.6577547399
333	0.6575547553
334	0.6573456014
335	0.6571996294
336	0.6569193807
337	0.6565717308
338	0.6563656077
339	0.6561582031
340	0.6558428806
341	0.6557013556
342	0.6554460902
343	0.6553151572
344	0.65495974
345	0.654736748
346	0.6545030444
347	0.6541108656
348	0.6540103209
349	0.6537203146
350	0.6535628631
351	0.6533773008
352	0.6532195444
353	0.6530469204
354	0.652922455
355	0.6526875044
356	0.6525059488
357	0.6521183779
358	0.6518048195
359	0.6516433388
360	0.651434317
361	0.6512510002
362	0.6509016014
363	0.6507969182
364	0.650355926
365	0.6499705153
366	0.6497894335
367	0.6495541354
368	0.6493962616
369	0.6492269914
370	0.6490301268
371	0.6489214384
372	0.6487954749
373	0.6486095054
374	0.6484904475
375	0.6482799767
376	0.6480930061
377	0.6478435792
378	0.647707898
379	0.6474336005
380	0.6473578082
381	0.647237264
382	0.647025455
383	0.6467695322
384	0.6464781109
385	0.6461490847
386	0.6459920912
387	0.6458611473
388	0.6457208064
389	0.6455101258
390	0.6453546602
391	0.6451303874
392	0.6450066271
393	0.6448313718
394	0.644658385
395	0.6443176796
396	0.6441271557
397	0.6439799545
398	0.6437888986
399	0.6436410806
400	0.6434576845
401	0.643321549
402	0.6429375346
403	0.642654204
404	0.6424975156
405	0.6421945656
406	0.6420575303
407	0.6419173031
408	0.6416348256
409	0.6415071214
410	0.6412127481
411	0.6410082673
412	0.6407739053
413	0.6406694302
414	0.6405784352
415	0.6404189804
416	0.6402049711
417	0.6398500641
418	0.6396812206
419	0.6394929307
420	0.6393691038
421	0.6392099459
422	0.639003979
423	0.638849596
424	0.6385733381
425	0.6384066786
426	0.6382831828
427	0.6380952928
428	0.6378545032
429	0.6376770766
430	0.6375493346
431	0.637394885
432	0.6372610072
433	0.637122945
434	0.6370302212
435	0.6368885851
436	0.6367458572
437	0.6364932368
438	0.6363524297
439	0.636185856
440	0.6360661147
441	0.6359480801
442	0.6357492147
443	0.6355480003
444	0.6353969605
445	0.6352429671
446	0.6351558632
447	0.635011509
448	0.6347881175
449	0.6346943524
450	0.6344241101
451	0.634327513
452	0.6340476952
453	0.6339293173
454	0.6337688575
455	0.6336736064
456	0.6335265832
457	0.6332756108
458	0.633193656
459	0.6330229865
460	0.6328749033
461	0.6327893023
462	0.6326661679
463	0.6323993676
464	0.6320444771
465	0.631934574
466	0.6318304243
467	0.631624057
468	0.6313805351
469	0.6312573405
470	0.6311548171
471	0.6310694769
472	0.630905995
473	0.630782753
474	0.6305773079
475	0.6304862727
476	0.6303472892
477	0.6301679926
478	0.6300146264
479	0.6298376822
480	0.6296872681
481	0.6295781937
482	0.629461742
483	0.6293084067
484	0.6291874888
485	0.6290338426
486	0.6288244916
487	0.6286011618
488	0.6284966802
489	0.628369351
490	0.6281930202
491	0.6280114232
492	0.627795953
493	0.6275814643
494	0.627440617
495	0.6273190986
496	0.6269634348
497	0.6267906775
498	0.6266263315
499	0.6264819675
